Zeit,Kanal A,Kanal B
(s),(mV),(V)

9.46667139,11.10416000,-0.01098666
9.60000479,10.93631000,-0.00671407
9.73333819,10.44191000,-0.02502518
9.86667159,11.04770000,-0.01037629
10.00000499,10.88900000,-0.01709037
10.13333839,10.44801000,-0.01281777
10.26667179,11.08890000,-0.00793481
10.40000519,10.87527000,-0.01892148
10.53333859,10.42055000,0.00122074
10.66667199,11.05838000,-0.01220740
10.80000539,10.89358000,-0.01098666
10.93333879,10.41292000,-0.01098666
11.06667219,11.07364000,-0.00427259
11.20000559,10.85849000,-0.00610370
11.33333899,10.39918000,-0.01037629
11.46667239,11.01260000,0.00671407
11.60000579,10.83407000,-0.01709037
11.73333919,10.39613000,-0.00854518
11.86667259,11.03397000,-0.01709037
12.00000599,10.82797000,-0.01037629
12.13333939,10.39460000,-0.00915555
12.26667279,11.02176000,0.00488296
12.40000619,10.80508000,-0.00732444
12.53333959,10.35951000,-0.00854518
12.66667299,10.98361000,-0.00915555
12.80000639,10.84323000,-0.00366222
12.93333979,10.38850000,-0.00549333
13.06667319,10.99582000,0.00671407
13.20000659,10.81576000,-0.00732444
13.33333999,10.37172000,-0.01159703
13.46667339,11.02328000,-0.00549333
13.60000679,10.77761000,-0.01770074
13.73334019,10.36103000,-0.01586962
13.86667359,11.00955000,-0.02624592
14.00000699,10.76388000,-0.00793481
14.13334039,10.33814000,-0.00793481
14.26667379,11.01108000,-0.01037629
14.40000719,10.71657000,0.00183111
14.53334059,10.33204000,-0.00610370
14.66667399,11.00345000,-0.00854518
14.80000739,10.71505000,-0.01159703
14.93334079,10.34272000,-0.00610370
15.06667419,10.99582000,-0.00549333
15.20000759,10.73641000,-0.01770074
15.33334099,10.35188000,-0.01831111
15.46667439,10.98361000,0.00671407
15.60000779,10.71657000,-0.01648000
15.73334119,10.31678000,-0.00915555
15.86667459,11.01566000,-0.00854518
16.00000799,10.70437000,-0.00305185
16.13334139,10.33967000,-0.00549333
16.26667479,10.98056000,-0.00793481
16.40000819,10.70284000,-0.00854518
16.53334159,10.30763000,-0.00793481
16.66667499,10.98361000,-0.01037629
16.80000839,10.70284000,-0.00793481
16.93334179,10.30457000,-0.00427259
17.06667519,10.95767000,0.00122074
17.20000859,10.69063000,-0.02319407
17.33334199,10.32899000,-0.01281777
17.46667539,10.96225000,-0.00122074
17.60000879,10.69521000,-0.00244148
17.73334219,10.29542000,-0.00915555
17.86667559,10.95920000,-0.00671407
18.00000899,10.71352000,0.02868740
18.13334239,10.32441000,-0.01525925
18.26667579,10.93783000,0.00610370
18.40000919,10.69063000,-0.00549333
18.53334258,10.29389000,-0.01648000
18.66667598,10.94241000,-0.00671407
18.80000938,10.68911000,-0.00793481
18.93334278,10.30000000,-0.00793481
19.06667618,10.95157000,-0.00915555
19.20000958,10.67995000,0.04028443
19.33334298,10.29389000,-0.00549333
19.46667638,10.96377000,-0.00915555
19.60000978,10.65706000,-0.01342814
19.73334318,10.26795000,-0.01648000
19.86667658,10.95309000,0.01220740
20.00000998,10.64333000,0.00000000
20.13334338,10.30305000,-0.00915555
20.26667678,10.96377000,-0.00610370
20.40001018,10.69826000,-0.01159703
20.53334358,10.30610000,-0.00732444
20.66667698,10.99734000,-0.00915555
20.80001038,10.65706000,-0.01709037
20.93334378,10.29542000,-0.01525925
21.06667718,10.95004000,-0.01220740
21.20001058,10.65859000,-0.00854518
21.33334398,10.29237000,-0.01281777
21.46667738,10.96835000,-0.00915555
21.60001078,10.68453000,-0.01037629
21.73334418,10.31526000,-0.01403851
21.86667758,11.00650000,-0.01586962
22.00001098,10.66012000,-0.00366222
22.13334438,10.30915000,-0.01098666
22.26667778,10.96988000,-0.00854518
22.40001118,10.63723000,-0.00915555
22.53334458,10.32441000,-0.01037629
22.66667798,10.97751000,-0.00732444
22.80001138,10.66012000,-0.00732444
22.93334478,10.31831000,-0.01098666
23.06667818,10.98209000,-0.01159703
23.20001158,10.64180000,-0.01159703
23.33334498,10.31220000,-0.00732444
23.46667838,10.96530000,-0.00915555
23.60001178,10.64486000,-0.01037629
23.73334518,10.32899000,-0.00183111
23.86667858,10.96377000,-0.00671407
24.00001198,10.66774000,-0.01037629
24.13334538,10.31220000,-0.00549333
24.26667878,10.93478000,-0.00854518
24.40001218,10.66317000,-0.01220740
24.53334558,10.36103000,-0.01342814
24.66667898,10.93783000,-0.00915555
24.80001238,10.63570000,-0.01159703
24.93334578,10.30305000,-0.01159703
25.06667918,10.91342000,-0.00732444
25.20001258,10.64486000,-0.00854518
25.33334598,10.34425000,-0.00854518
25.46667938,10.90579000,-0.00915555
25.60001278,10.64180000,-0.01220740
25.73334618,10.36561000,-0.01159703
25.86667958,10.89358000,-0.00915555
26.00001298,10.63570000,-0.01098666
26.13334638,10.37629000,-0.01220740
26.26667978,10.87069000,-0.00854518
26.40001318,10.60671000,-0.00854518
26.53334658,10.36409000,-0.01037629
26.66667998,10.86001000,-0.00915555
26.80001338,10.66774000,-0.00915555
26.93334678,10.38240000,-0.00915555
27.06668018,10.86917000,-0.00244148
27.20001358,10.63418000,-0.00854518
27.33334698,10.37782000,-0.01037629
27.46668038,10.85543000,-0.01037629
27.60001378,10.59603000,-0.00610370
27.73334718,10.39766000,-0.02624592
27.86668058,10.86001000,-0.00610370
28.00001398,10.60823000,-0.01098666
28.13334738,10.40223000,-0.01648000
28.26668078,10.88137000,-0.00854518
28.40001418,10.60213000,-0.00915555
28.53334758,10.42970000,-0.01281777
28.66668098,10.87222000,-0.04699850
28.80001438,10.59603000,-0.00854518
28.93334778,10.45411000,-0.00671407
29.06668118,10.86306000,-0.00732444
29.20001458,10.59908000,-0.00854518
29.33334798,10.48006000,-0.01892148
29.46668138,10.82797000,-0.01220740
29.60001478,10.55177000,-0.00610370
29.73334818,10.46480000,-0.00854518
29.86668158,10.83254000,0.00549333
30.00001498,10.58534000,-0.01037629
30.13334838,10.48158000,-0.02685629
30.26668178,10.82491000,-0.00854518
30.40001518,10.60671000,0.00488296
30.53334858,10.53957000,-0.01037629
30.66668198,10.78982000,-0.02014222
30.80001538,10.55788000,-0.00793481
30.93334877,10.57466000,-0.02990814
31.06668217,10.79440000,-0.01098666
31.20001557,10.53804000,-0.01037629
31.33334897,10.59908000,-0.02563555
31.46668237,10.77608000,-0.00915555
31.60001577,10.50447000,-0.01403851
31.73334917,10.60823000,-0.01403851
31.86668257,10.78677000,-0.00671407
32.00001597,10.46022000,-0.00610370
32.13334937,10.63112000,-0.00732444
32.26668277,10.79897000,-0.00610370
32.40001617,10.38545000,-0.01098666
32.53334957,10.68758000,-0.01648000
32.66668297,10.76540000,-0.00610370
32.80001637,10.30457000,-0.00854518
32.93334977,10.69216000,-0.00854518
33.06668317,10.77608000,0.00793481
33.20001657,10.30000000,-0.00671407
33.33334997,10.74862000,-0.02014222
33.46668337,10.74252000,-0.00915555
33.60001677,10.23591000,-0.00732444
33.73335017,10.75472000,-0.01159703
33.86668357,10.72573000,-0.01159703
34.00001697,10.21302000,-0.02136296
34.13335037,10.76083000,-0.00854518
34.26668377,10.71810000,-0.00671407
34.40001717,10.21455000,-0.01098666
34.53335057,10.79745000,-0.00671407
34.66668397,10.67080000,-0.01220740
34.80001737,10.17640000,-0.01159703
34.93335077,10.76846000,-0.00854518
35.06668417,10.64028000,-0.00610370
35.20001757,10.13062000,-0.00610370
35.33335097,10.80508000,-0.00854518
35.46668437,10.63265000,-0.01648000
35.60001777,10.18708000,-0.00610370
35.73335117,10.81729000,-0.00671407
35.86668457,10.60518000,-0.01159703
36.00001797,10.12909000,-0.01159703
36.13335137,10.80203000,-0.00793481
36.26668477,10.61129000,-0.01525925
36.40001817,10.14283000,0.00061037
36.53335157,10.80203000,-0.00854518
36.66668497,10.55788000,-0.00610370
36.80001837,10.16114000,0.00183111
36.93335177,10.76998000,-0.01586962
37.06668517,10.59297000,-0.01098666
37.20001857,10.15351000,-0.00183111
37.33335197,10.82797000,-0.00915555
37.46668537,10.56703000,0.00061037
37.60001877,10.13672000,-0.01770074
37.73335217,10.75320000,-0.01037629
37.86668557,10.55483000,-0.00732444
38.00001897,10.15198000,-0.01037629
38.13335237,10.81576000,-0.01098666
38.26668577,10.55330000,-0.00793481
38.40001917,10.17029000,-0.00915555
38.53335257,10.78677000,-0.00793481
38.66668597,10.51973000,-0.00671407
38.80001937,10.14283000,-0.00671407
38.93335277,10.82949000,-0.01159703
39.06668617,10.50600000,0.00000000
39.20001957,10.15351000,-0.02990814
39.33335297,10.78066000,-0.01403851
39.46668637,10.52736000,-0.00793481
39.60001977,10.14893000,-0.00427259
39.73335317,10.80050000,-0.01098666
39.86668657,10.50447000,0.00183111
40.00001997,10.17029000,-0.00671407
40.13335337,10.81729000,-0.00366222
40.26668677,10.52889000,-0.01892148
40.40002017,10.16419000,-0.00610370
40.53335357,10.83254000,-0.00732444
40.66668697,10.52736000,-0.00610370
40.80002037,10.17792000,-0.01159703
40.93335377,10.86917000,-0.01098666
41.06668717,10.54720000,-0.01525925
41.20002057,10.21149000,-0.01586962
41.33335397,10.87222000,-0.00366222
41.46668737,10.52889000,-0.01220740
41.60002077,10.22217000,-0.00305185
41.73335417,10.86764000,-0.00915555
41.86668757,10.53804000,-0.00549333
42.00002097,10.22065000,-0.00549333
42.13335437,10.88595000,-0.02929777
42.26668777,10.55330000,-0.01037629
42.40002117,10.25727000,-0.00915555
42.53335457,10.82339000,-0.01159703
42.66668797,10.50447000,-0.01403851
42.80002137,10.26795000,-0.00671407
42.93335477,10.79592000,-0.00732444
43.06668817,10.55177000,-0.00610370
43.20002156,10.26795000,-0.00793481
43.33335496,10.82034000,-0.01159703
43.46668836,10.55330000,0.02868740
43.60002176,10.29389000,-0.01403851
43.73335516,10.80813000,-0.01098666
43.86668856,10.54720000,-0.00732444
44.00002196,10.32746000,0.00061037
44.13335536,10.77608000,-0.01098666
44.26668876,10.54567000,-0.01098666
44.40002216,10.31220000,0.01281777
44.53335556,10.78524000,-0.00854518
44.66668896,10.55177000,-0.00915555
44.80002236,10.32746000,-0.00366222
44.93335576,10.80050000,-0.01098666
45.06668916,10.53194000,-0.05188147
45.20002256,10.33662000,-0.01342814
45.33335596,10.75167000,-0.01342814
45.46668936,10.52889000,-0.00915555
45.60002276,10.39613000,-0.00732444
45.73335616,10.80203000,-0.01281777
45.86668956,10.52889000,-0.00793481
46.00002296,10.40071000,-0.00915555
46.13335636,10.78677000,-0.00671407
46.26668976,10.54872000,-0.00793481
46.40002316,10.41444000,-0.00610370
46.53335656,10.75014000,-0.01037629
46.66668996,10.51973000,-0.00915555
46.80002336,10.47243000,-0.01037629
46.93335676,10.73489000,-0.01220740
47.06669016,10.51668000,0.00000000
47.20002356,10.51515000,-0.01220740
47.33335696,10.73336000,-0.01037629
47.46669036,10.48311000,-0.00671407
47.60002376,10.53804000,-0.00732444
47.73335716,10.74099000,-0.00793481
47.86669056,10.39918000,-0.00915555
48.00002396,10.58229000,-0.00610370
48.13335736,10.76235000,-0.00915555
48.26669076,10.31220000,-0.01159703
48.40002416,10.63265000,-0.00793481
48.53335756,10.73336000,-0.00610370
48.66669096,10.26490000,-0.00915555
48.80002436,10.62960000,-0.01220740
48.93335776,10.72878000,-0.01159703
49.06669116,10.22675000,-0.01525925
49.20002456,10.67995000,-0.00793481
49.33335796,10.71505000,-0.00427259
49.46669136,10.17487000,-0.02075259
49.60002476,10.72268000,-0.00183111
49.73335816,10.67690000,-0.01037629
49.86669156,10.14893000,-0.00915555
50.00002496,10.72420000,-0.01159703
50.13335836,10.66317000,-0.00671407
50.26669176,10.13520000,-0.01098666
50.40002516,10.72573000,-0.02014222
50.53335856,10.62960000,-0.00122074
50.66669196,10.10773000,-0.01159703
50.80002536,10.75167000,-0.00732444
50.93335876,10.63570000,0.03662221
51.06669216,10.11231000,-0.00732444
51.20002556,10.72878000,-0.03112888
51.33335896,10.59603000,-0.01220740
51.46669236,10.10468000,-0.01403851
51.60002576,10.78372000,0.01281777
51.73335916,10.60060000,-0.01037629
51.86669256,10.07874000,-0.00915555
52.00002596,10.75014000,-0.00549333
52.13335936,10.56246000,-0.01709037
52.26669276,10.10010000,-0.01159703
52.40002616,10.75320000,0.01770074
52.53335956,10.54109000,-0.01159703
52.66669296,10.08637000,-0.01159703
52.80002636,10.77303000,0.00366222
52.93335976,10.53804000,0.00244148
53.06669316,10.09552000,-0.01037629
53.20002656,10.75014000,-0.05310221
53.33335996,10.53804000,-0.00183111
53.46669336,10.11841000,-0.00732444
53.60002676,10.74099000,-0.01037629
53.73336016,10.50752000,-0.01220740
53.86669356,10.10010000,0.01281777
54.00002696,10.76388000,-0.00915555
54.13336036,10.52583000,-0.02502518
54.26669376,10.12757000,-0.01037629
54.40002716,10.78219000,-0.01037629
54.53336056,10.50294000,-0.02014222
54.66669396,10.12604000,-0.01220740
54.80002736,10.74862000,0.00061037
54.93336076,10.48463000,-0.04638813
55.06669416,10.10468000,-0.00671407
55.20002756,10.74862000,-0.01037629
55.33336096,10.49379000,-0.01037629
55.46669436,10.11994000,-0.00854518
55.60002775,10.75777000,-0.01098666
55.73336115,10.49379000,-0.00793481
55.86669455,10.10010000,-0.00915555
56.00002795,10.75777000,-0.00854518
56.13336135,10.47090000,-0.00549333
56.26669475,10.12604000,-0.01037629
56.40002815,10.78829000,-0.00732444
56.53336155,10.47700000,-0.00854518
56.66669495,10.13520000,-0.01159703
56.80002835,10.75930000,-0.01220740
56.93336175,10.52583000,-0.00427259
57.06669515,10.14283000,-0.00793481
57.20002855,10.80660000,-0.00244148
57.33336195,10.49226000,-0.01342814
57.46669535,10.16266000,-0.01159703
57.60002875,10.80203000,-0.02136296
57.73336215,10.50294000,-0.00854518
57.86669555,10.16114000,-0.01098666
58.00002895,10.85238000,-0.05920591
58.13336235,10.50752000,-0.00122074
58.26669575,10.16724000,-0.01159703
58.40002915,10.83254000,-0.00793481
58.53336255,10.49532000,-0.01342814
58.66669595,10.16419000,-0.01220740
58.80002935,10.84475000,-0.00854518
58.93336275,10.52583000,-0.01281777
59.06669615,10.17792000,-0.00610370
59.20002955,10.85391000,-0.00732444
59.33336295,10.53041000,-0.01403851
59.46669635,10.20234000,-0.00671407
59.60002975,10.80508000,-0.00671407
59.73336315,10.51820000,-0.00610370
59.86669655,10.22065000,-0.00793481
60.00002995,10.81118000,-0.00793481
60.13336335,10.52583000,-0.01098666
60.26669675,10.24506000,-0.01159703
60.40003015,10.80813000,-0.00793481
60.53336355,10.55330000,-0.01159703
60.66669695,10.24354000,-0.00671407
60.80003035,10.78677000,-0.01037629
60.93336375,10.51363000,-0.00793481
61.06669715,10.27253000,-0.00427259
61.20003055,10.76846000,-0.01159703
61.33336395,10.52431000,-0.02258370
61.46669735,10.27100000,-0.00854518
61.60003075,10.77303000,-0.01220740
61.73336415,10.52278000,-0.01220740
61.86669755,10.26948000,-0.00854518
62.00003095,10.77456000,-0.00793481
62.13336435,10.54262000,-0.00366222
62.26669775,10.24812000,-0.00854518
62.40003115,10.71352000,-0.05005036
62.53336455,10.54109000,-0.01037629
62.66669795,10.27100000,-0.01281777
62.80003135,10.72268000,-0.01525925
62.93336475,10.51210000,0.00854518
63.06669815,10.26795000,-0.00793481
63.20003155,10.76083000,-0.01281777
63.33336495,10.53041000,-0.00732444
63.46669835,10.30000000,-0.00549333
63.60003175,10.73489000,-0.00915555
